global_id,PRECINCT_shp,COUNTYGEOID10,COUNTYNAME10,PRECINCT_election_results,PRECINCTCODE_election_results,PRECINCT_misfit
3937,Richland B,39003,Allen,RICHLAND B,AFG,
3938,Shawnee J,39003,Allen,SHAWNEE J,AGB,
3939,Shawnee K,39003,Allen,SHAWNEE K,AGC,
3940,Shawnee L,39003,Allen,SHAWNEE L,AGD,
3941,Shawnee A,39003,Allen,SHAWNEE A,AFN,
3942,Shawnee B,39003,Allen,SHAWNEE B,AFO,
3943,Shawnee C,39003,Allen,SHAWNEE C,AFP,
3944,Shawnee D,39003,Allen,SHAWNEE D,AFQ,
3945,Shawnee E,39003,Allen,SHAWNEE E,AFR,
3946,Shawnee F,39003,Allen,SHAWNEE F,AFS,
3947,Shawnee G,39003,Allen,SHAWNEE G,AFT,
3948,Shawnee H,39003,Allen,SHAWNEE H,AFU,
3949,Shawnee I,39003,Allen,SHAWNEE I,AFV,
3950,Spencerville A,39003,Allen,SPENCERVILLE A,AGK,
3951,Spencerville B,39003,Allen,SPENCERVILLE B,AGL,
3952,Spencer A,39003,Allen,SPENCER A,AGI,
3953,Sugar Creek A,39003,Allen,SUGAR CREEK,AGN,
3954,Amanda N,39003,Allen,AMANDA N,ACU,
3955,Monroe W,39003,Allen,MONROE W,AEY,
3956,Cairo,39003,Allen,CAIRO,AEW,
5350,ASHLAND CITY 1-A,39005,Ashland,ASHLAND CITY 1-A,AAA,
5351,ASHLAND CITY 1-B,39005,Ashland,ASHLAND CITY 1-B,AAB,
5352,ASHLAND CITY 1-C,39005,Ashland,ASHLAND CITY 1-C,AAC,
5353,ASHLAND CITY 1-D,39005,Ashland,ASHLAND CITY 1-D,AAD,
,,39005,Ashland,ASHLAND CITY 1-E,AAF,
5354,ASHLAND CITY 2-A,39005,Ashland,ASHLAND CITY 2-A,AAG,
5355,ASHLAND CITY 2-B,39005,Ashland,ASHLAND CITY 2-B,AAH,
5356,ASHLAND CITY 2-C,39005,Ashland,ASHLAND CITY 2-C,AAI,
,,39005,Ashland,ASHLAND CITY 2-D,AAJ,
5357,ASHLAND CITY 3-A,39005,Ashland,ASHLAND CITY 3-A,AAQ,
5358,ASHLAND CITY 3-B,39005,Ashland,ASHLAND CITY 3-B,AAS,
5359,ASHLAND CITY 3-C,39005,Ashland,ASHLAND CITY 3-C,AAU,
5360,ASHLAND CITY 3-D,39005,Ashland,ASHLAND CITY 3-D,AAV,
5361,ASHLAND CITY 4-A,39005,Ashland,ASHLAND CITY 4-A,AAZ,
5362,ASHLAND CITY 4-B,39005,Ashland,ASHLAND CITY 4-B,ABB,
5363,ASHLAND CITY 4-C,39005,Ashland,ASHLAND CITY 4-C,ABC,
,,39005,Ashland,ASHLAND CITY 4-D,ABD,
5364,CLEAR CREEK,39005,Ashland,,,"CLEAR CREEK 1, ABG, CLEAR CREEK 2, ACX"
5365,GREEN 1,39005,Ashland,GREEN 1,ABI,
5366,GREEN 2,39005,Ashland,GREEN 2,ABJ,
,,39005,Ashland,HANOVER,ABN,
5367,JACKSON 1,39005,Ashland,JACKSON 1,ABS,
5368,JACKSON 2,39005,Ashland,JACKSON 2,ABT,
